feature,importance
s1_t2.36_l10_g0.5_std,0.01785859072849554
s1_t2.36_l5_g1.0_std,0.016735074663791642
s1_t2.36_l10_g1.0_std,0.016406813238055012
s1_t2.36_l5_g0.5_std,0.01617141694734466
s1_t0_l10_g1.0_std,0.015552239432711909
s1_t0_l5_g1.0_std,0.013758029437374768
s3_t0.79_l10_g0.5_skew,0.01373528594651377
s1_t0.79_l10_g1.0_std,0.01359268650371641
s3_t2.36_l5_g0.5_kurtosis,0.01343428493006985
s1_t1.57_l10_g1.0_std,0.01341254358309044
s3_t2.36_l10_g1.0_std,0.012947517133365284
s3_t1.57_l10_g1.0_std,0.012499266204684376
s1_t0_l5_g0.5_std,0.011948919697391142
s1_t0.79_l5_g1.0_std,0.01189766756279668
s3_t1.57_l10_g0.5_std,0.011797032825707075
s3_t1.57_l5_g0.5_std,0.011636977037131983
s3_t0.79_l10_g0.5_kurtosis,0.011626212866043872
s3_t0_l10_g1.0_std,0.011609293060931674
s1_t0_l10_g0.5_std,0.011467480928678178
s1_t1.57_l5_g1.0_std,0.010958784471961537
s3_t0_l5_g0.5_energy,0.0105264269227312
s3_t1.57_l5_g1.0_std,0.01019959907178063
s3_t2.36_l10_g0.5_std,0.01010864755903177
s3_t1.57_l5_g0.5_energy,0.010039879656021006
s3_t1.57_l5_g1.0_energy,0.00991064919663366
s1_t0.79_l10_g0.5_skew,0.009746316594199684
s3_t0.79_l10_g1.0_std,0.009399165726013584
s3_t0.79_l5_g1.0_kurtosis,0.009334328288074761
s3_t0_l5_g1.0_kurtosis,0.009294193921567597
s3_t0.79_l10_g0.5_std,0.009280602762295052
s3_t0.79_l5_g0.5_kurtosis,0.009211407442798651
s3_t0_l5_g0.5_std,0.009071620598538591
s3_t1.57_l10_g0.5_energy,0.00895005813691749
s3_t2.36_l5_g0.5_energy,0.008732919192063628
s1_t0.79_l5_g0.5_skew,0.008686891773819126
s3_t2.36_l5_g0.5_std,0.008510363416775035
s1_t0.79_l10_g0.5_std,0.008423547824929071
s3_t0_l10_g0.5_std,0.008423431741815899
s1_t1.57_l5_g0.5_std,0.008407777226056854
s3_t1.57_l10_g1.0_energy,0.00823326097270886
s1_t1.57_l10_g0.5_std,0.00814069443328568
s1_t0.79_l5_g0.5_std,0.008045233175391107
s3_t0_l5_g1.0_std,0.008042662184525942
s3_t0.79_l5_g0.5_energy,0.008009684129698436
s3_t2.36_l5_g1.0_kurtosis,0.007899044348028227
s3_t0_l5_g1.0_energy,0.007833255795322335
s3_t2.36_l5_g1.0_energy,0.007774565294515404
s3_t2.36_l5_g1.0_std,0.007622815386557767
s3_t0_l5_g0.5_mean,0.007618529202750419
s3_t0.79_l5_g1.0_skew,0.007614736934205005
s3_t0_l5_g0.5_kurtosis,0.007551725306301944
s3_t1.57_l5_g1.0_kurtosis,0.007405792354923808
s3_t0.79_l5_g0.5_skew,0.007392020865090899
s3_t0.79_l5_g1.0_energy,0.00732045653188371
s3_t1.57_l5_g0.5_skew,0.007231753436437062
s3_t2.36_l5_g1.0_skew,0.007119444659845595
s3_t0.79_l5_g0.5_std,0.007115588582569702
s3_t0.79_l5_g1.0_std,0.0070908797939752645
s1_t1.57_l10_g0.5_skew,0.007075817975152741
s3_t2.36_l10_g0.5_kurtosis,0.00701579056342593
s3_t1.57_l10_g0.5_skew,0.006845397103200257
s3_t1.57_l5_g0.5_kurtosis,0.0067532872287088055
s3_t1.57_l10_g1.0_skew,0.006640730323079524
s3_t0_l5_g1.0_mean,0.00656363173527389
s3_t1.57_l5_g1.0_skew,0.0065325829719962425
s3_t0.79_l10_g1.0_skew,0.0064243736823621595
s1_t1.57_l5_g0.5_skew,0.006384058953713839
s3_t2.36_l10_g1.0_energy,0.006312142119237383
s3_t0.79_l10_g1.0_kurtosis,0.006206469287342858
s3_t2.36_l10_g1.0_kurtosis,0.006156137124579901
s3_t0_l10_g0.5_kurtosis,0.006096244018870598
