kernel     deg  coef0     log2(g)        log2(C)        measure_1=val ... measure_n=val
RBF        3    0         -6.64386       2              ACCURACY=0.726953             PRECISION=0.660465            F1=0.477311                   CLASSERROR=0.273047           
RBF        3    0         -6.64386       2.2            ACCURACY=0.730465             PRECISION=0.665158            F1=0.489185                   CLASSERROR=0.269535           
RBF        3    0         -6.64386       2.4            ACCURACY=0.730465             PRECISION=0.665158            F1=0.489185                   CLASSERROR=0.269535           
RBF        3    0         -6.64386       2.6            ACCURACY=0.727831             PRECISION=0.657658            F1=0.485050                   CLASSERROR=0.272169           
RBF        3    0         -6.64386       2.8            ACCURACY=0.733099             PRECISION=0.671171            F1=0.495017                   CLASSERROR=0.266901           
RBF        3    0         -6.64386       3              ACCURACY=0.739245             PRECISION=0.679654            F1=0.513912                   CLASSERROR=0.260755           
RBF        3    0         -6.64386       3.2            ACCURACY=0.740123             PRECISION=0.681035            F1=0.516340                   CLASSERROR=0.259877           
RBF        3    0         -6.64386       3.4            ACCURACY=0.738367             PRECISION=0.673729            F1=0.516234                   CLASSERROR=0.261633           
RBF        3    0         -6.64386       3.6            ACCURACY=0.741001             PRECISION=0.677824            F1=0.523425                   CLASSERROR=0.258999           
RBF        3    0         -6.64386       3.8            ACCURACY=0.743635             PRECISION=0.676000            F1=0.536508                   CLASSERROR=0.256365           
RBF        3    0         -6.44386       2              ACCURACY=0.728709             PRECISION=0.659193            F1=0.487562                   CLASSERROR=0.271291           
RBF        3    0         -6.44386       2.2            ACCURACY=0.730465             PRECISION=0.665158            F1=0.489185                   CLASSERROR=0.269535           
RBF        3    0         -6.44386       2.4            ACCURACY=0.728709             PRECISION=0.659193            F1=0.487562                   CLASSERROR=0.271291           
RBF        3    0         -6.44386       2.6            ACCURACY=0.733977             PRECISION=0.671111            F1=0.499174                   CLASSERROR=0.266023           
RBF        3    0         -6.44386       2.8            ACCURACY=0.739245             PRECISION=0.679654            F1=0.513912                   CLASSERROR=0.260755           
RBF        3    0         -6.44386       3              ACCURACY=0.739245             PRECISION=0.678112            F1=0.515498                   CLASSERROR=0.260755           
RBF        3    0         -6.44386       3.2            ACCURACY=0.738367             PRECISION=0.672269            F1=0.517799                   CLASSERROR=0.261633           
RBF        3    0         -6.44386       3.4            ACCURACY=0.741879             PRECISION=0.676230            F1=0.528846                   CLASSERROR=0.258121           
RBF        3    0         -6.44386       3.6            ACCURACY=0.743635             PRECISION=0.676000            F1=0.536508                   CLASSERROR=0.256365           
RBF        3    0         -6.44386       3.8            ACCURACY=0.741879             PRECISION=0.669291            F1=0.536278                   CLASSERROR=0.258121           
RBF        3    0         -6.24386       2              ACCURACY=0.731343             PRECISION=0.665179            F1=0.493377                   CLASSERROR=0.268657           
RBF        3    0         -6.24386       2.2            ACCURACY=0.729587             PRECISION=0.660714            F1=0.490066                   CLASSERROR=0.270413           
RBF        3    0         -6.24386       2.4            ACCURACY=0.733099             PRECISION=0.666667            F1=0.500000                   CLASSERROR=0.266901           
RBF        3    0         -6.24386       2.6            ACCURACY=0.739245             PRECISION=0.678112            F1=0.515498                   CLASSERROR=0.260755           
RBF        3    0         -6.24386       2.8            ACCURACY=0.738367             PRECISION=0.675214            F1=0.514658                   CLASSERROR=0.261633           
RBF        3    0         -6.24386       3              ACCURACY=0.740123             PRECISION=0.676471            F1=0.521036                   CLASSERROR=0.259877           
RBF        3    0         -6.24386       3.2            ACCURACY=0.741879             PRECISION=0.676230            F1=0.528846                   CLASSERROR=0.258121           
RBF        3    0         -6.24386       3.4            ACCURACY=0.742757             PRECISION=0.673307            F1=0.535658                   CLASSERROR=0.257243           
RBF        3    0         -6.24386       3.6            ACCURACY=0.741879             PRECISION=0.669291            F1=0.536278                   CLASSERROR=0.258121           
