kernel     deg  coef0     log2(g)        log2(C)        measure_1=val ... measure_n=val
RBF        3    0         -6.64386       2              ACCURACY=0.665789             PRECISION=0.498599            F1=0.483039                   CLASSERROR=0.334211           
RBF        3    0         -6.64386       2.2            ACCURACY=0.668421             PRECISION=0.502778            F1=0.489189                   CLASSERROR=0.331579           
RBF        3    0         -6.64386       2.4            ACCURACY=0.664912             PRECISION=0.497253            F1=0.486559                   CLASSERROR=0.335088           
RBF        3    0         -6.64386       2.6            ACCURACY=0.659649             PRECISION=0.489130            F1=0.481283                   CLASSERROR=0.340351           
RBF        3    0         -6.64386       2.8            ACCURACY=0.658772             PRECISION=0.487738            F1=0.479250                   CLASSERROR=0.341228           
RBF        3    0         -6.64386       3              ACCURACY=0.658772             PRECISION=0.487871            F1=0.482024                   CLASSERROR=0.341228           
RBF        3    0         -6.64386       3.2            ACCURACY=0.657018             PRECISION=0.485488            F1=0.484848                   CLASSERROR=0.342982           
RBF        3    0         -6.64386       3.4            ACCURACY=0.658772             PRECISION=0.488189            F1=0.488830                   CLASSERROR=0.341228           
RBF        3    0         -6.64386       3.6            ACCURACY=0.656140             PRECISION=0.484375            F1=0.486911                   CLASSERROR=0.343860           
RBF        3    0         -6.64386       3.8            ACCURACY=0.657018             PRECISION=0.485714            F1=0.488889                   CLASSERROR=0.342982           
RBF        3    0         -6.44386       2              ACCURACY=0.669298             PRECISION=0.504155            F1=0.491228                   CLASSERROR=0.330702           
RBF        3    0         -6.44386       2.2            ACCURACY=0.664912             PRECISION=0.497253            F1=0.486559                   CLASSERROR=0.335088           
RBF        3    0         -6.44386       2.4            ACCURACY=0.659649             PRECISION=0.489189            F1=0.482667                   CLASSERROR=0.340351           
RBF        3    0         -6.44386       2.6            ACCURACY=0.658772             PRECISION=0.487738            F1=0.479250                   CLASSERROR=0.341228           
RBF        3    0         -6.44386       2.8            ACCURACY=0.657895             PRECISION=0.486559            F1=0.481383                   CLASSERROR=0.342105           
RBF        3    0         -6.44386       3              ACCURACY=0.657895             PRECISION=0.486772            F1=0.485488                   CLASSERROR=0.342105           
RBF        3    0         -6.44386       3.2            ACCURACY=0.657895             PRECISION=0.486911            F1=0.488189                   CLASSERROR=0.342105           
RBF        3    0         -6.44386       3.4            ACCURACY=0.656140             PRECISION=0.484375            F1=0.486911                   CLASSERROR=0.343860           
RBF        3    0         -6.44386       3.6            ACCURACY=0.657018             PRECISION=0.485714            F1=0.488889                   CLASSERROR=0.342982           
RBF        3    0         -6.44386       3.8            ACCURACY=0.652632             PRECISION=0.479058            F1=0.480315                   CLASSERROR=0.347368           
RBF        3    0         -6.24386       2              ACCURACY=0.664912             PRECISION=0.497253            F1=0.486559                   CLASSERROR=0.335088           
RBF        3    0         -6.24386       2.2            ACCURACY=0.657895             PRECISION=0.486486            F1=0.480000                   CLASSERROR=0.342105           
RBF        3    0         -6.24386       2.4            ACCURACY=0.658772             PRECISION=0.487805            F1=0.480641                   CLASSERROR=0.341228           
RBF        3    0         -6.24386       2.6            ACCURACY=0.657895             PRECISION=0.486559            F1=0.481383                   CLASSERROR=0.342105           
RBF        3    0         -6.24386       2.8            ACCURACY=0.658772             PRECISION=0.488127            F1=0.487484                   CLASSERROR=0.341228           
RBF        3    0         -6.24386       3              ACCURACY=0.657018             PRECISION=0.485564            F1=0.486202                   CLASSERROR=0.342982           
RBF        3    0         -6.24386       3.2            ACCURACY=0.656140             PRECISION=0.484375            F1=0.486911                   CLASSERROR=0.343860           
RBF        3    0         -6.24386       3.4            ACCURACY=0.657895             PRECISION=0.487047            F1=0.490862                   CLASSERROR=0.342105           
