kernel     deg  coef0     log2(g)        log2(C)        measure_1=val ... measure_n=val
RBF        3    0         -6.64386       2              ACCURACY=0.812830             PRECISION=0.834677            F1=0.660287                   CLASSERROR=0.187170           
RBF        3    0         -6.64386       2.2            ACCURACY=0.821617             PRECISION=0.846457            F1=0.679305                   CLASSERROR=0.178383           
RBF        3    0         -6.64386       2.4            ACCURACY=0.822496             PRECISION=0.828996            F1=0.688272                   CLASSERROR=0.177504           
RBF        3    0         -6.64386       2.6            ACCURACY=0.826889             PRECISION=0.827338            F1=0.700152                   CLASSERROR=0.173111           
RBF        3    0         -6.64386       2.8            ACCURACY=0.823374             PRECISION=0.804795            F1=0.700447                   CLASSERROR=0.176626           
RBF        3    0         -6.64386       3              ACCURACY=0.820738             PRECISION=0.790698            F1=0.700000                   CLASSERROR=0.179262           
RBF        3    0         -6.64386       3.2            ACCURACY=0.821617             PRECISION=0.785714            F1=0.704512                   CLASSERROR=0.178383           
RBF        3    0         -6.64386       3.4            ACCURACY=0.823374             PRECISION=0.781646            F1=0.710791                   CLASSERROR=0.176626           
RBF        3    0         -6.64386       3.6            ACCURACY=0.822496             PRECISION=0.777429            F1=0.710602                   CLASSERROR=0.177504           
RBF        3    0         -6.64386       3.8            ACCURACY=0.819859             PRECISION=0.771875            F1=0.706724                   CLASSERROR=0.180141           
RBF        3    0         -6.44386       2              ACCURACY=0.821617             PRECISION=0.846457            F1=0.679305                   CLASSERROR=0.178383           
RBF        3    0         -6.44386       2.2            ACCURACY=0.822496             PRECISION=0.828996            F1=0.688272                   CLASSERROR=0.177504           
RBF        3    0         -6.44386       2.4            ACCURACY=0.826011             PRECISION=0.824373            F1=0.699088                   CLASSERROR=0.173989           
RBF        3    0         -6.44386       2.6            ACCURACY=0.824253             PRECISION=0.807560            F1=0.701493                   CLASSERROR=0.175747           
RBF        3    0         -6.44386       2.8            ACCURACY=0.819859             PRECISION=0.790000            F1=0.698085                   CLASSERROR=0.180141           
RBF        3    0         -6.44386       3              ACCURACY=0.822496             PRECISION=0.788274            F1=0.705539                   CLASSERROR=0.177504           
RBF        3    0         -6.44386       3.2            ACCURACY=0.823374             PRECISION=0.781646            F1=0.710791                   CLASSERROR=0.176626           
RBF        3    0         -6.44386       3.4            ACCURACY=0.822496             PRECISION=0.777429            F1=0.710602                   CLASSERROR=0.177504           
RBF        3    0         -6.44386       3.6            ACCURACY=0.820738             PRECISION=0.772586            F1=0.708571                   CLASSERROR=0.179262           
RBF        3    0         -6.44386       3.8            ACCURACY=0.821617             PRECISION=0.768293            F1=0.712871                   CLASSERROR=0.178383           
RBF        3    0         -6.24386       2              ACCURACY=0.823374             PRECISION=0.832090            F1=0.689335                   CLASSERROR=0.176626           
RBF        3    0         -6.24386       2.2            ACCURACY=0.826011             PRECISION=0.824373            F1=0.699088                   CLASSERROR=0.173989           
RBF        3    0         -6.24386       2.4            ACCURACY=0.823374             PRECISION=0.804795            F1=0.700447                   CLASSERROR=0.176626           
RBF        3    0         -6.24386       2.6            ACCURACY=0.820738             PRECISION=0.792642            F1=0.699115                   CLASSERROR=0.179262           
RBF        3    0         -6.24386       2.8            ACCURACY=0.822496             PRECISION=0.790164            F1=0.704678                   CLASSERROR=0.177504           
RBF        3    0         -6.24386       3              ACCURACY=0.824253             PRECISION=0.784127            F1=0.711816                   CLASSERROR=0.175747           
RBF        3    0         -6.24386       3.2            ACCURACY=0.822496             PRECISION=0.777429            F1=0.710602                   CLASSERROR=0.177504           
RBF        3    0         -6.24386       3.4            ACCURACY=0.820738             PRECISION=0.772586            F1=0.708571                   CLASSERROR=0.179262           
RBF        3    0         -6.24386       3.6            ACCURACY=0.822496             PRECISION=0.770642            F1=0.713881                   CLASSERROR=0.177504           
RBF        3    0         -6.24386       3.8            ACCURACY=0.819859             PRECISION=0.760479            F1=0.712482                   CLASSERROR=0.180141           
RBF        3    0         -6.04386       2              ACCURACY=0.826011             PRECISION=0.824373            F1=0.699088                   CLASSERROR=0.173989           
RBF        3    0         -6.04386       2.2            ACCURACY=0.824253             PRECISION=0.807560            F1=0.701493                   CLASSERROR=0.175747           
RBF        3    0         -6.04386       2.4            ACCURACY=0.822496             PRECISION=0.795987            F1=0.702065                   CLASSERROR=0.177504           
RBF        3    0         -6.04386       2.6            ACCURACY=0.823374             PRECISION=0.790850            F1=0.706569                   CLASSERROR=0.176626           
RBF        3    0         -6.04386       2.8            ACCURACY=0.824253             PRECISION=0.784127            F1=0.711816                   CLASSERROR=0.175747           
RBF        3    0         -6.04386       3              ACCURACY=0.822496             PRECISION=0.777429            F1=0.710602                   CLASSERROR=0.177504           
RBF        3    0         -6.04386       3.2            ACCURACY=0.821617             PRECISION=0.773292            F1=0.710414                   CLASSERROR=0.178383           
RBF        3    0         -6.04386       3.4            ACCURACY=0.821617             PRECISION=0.768293            F1=0.712871                   CLASSERROR=0.178383           
RBF        3    0         -6.04386       3.6            ACCURACY=0.819859             PRECISION=0.762048            F1=0.711674                   CLASSERROR=0.180141           
RBF        3    0         -6.04386       3.8            ACCURACY=0.815466             PRECISION=0.747801            F1=0.708333                   CLASSERROR=0.184534           
RBF        3    0         -5.84386       2              ACCURACY=0.824253             PRECISION=0.807560            F1=0.701493                   CLASSERROR=0.175747           
RBF        3    0         -5.84386       2.2            ACCURACY=0.823374             PRECISION=0.796667            F1=0.703976                   CLASSERROR=0.176626           
RBF        3    0         -5.84386       2.4            ACCURACY=0.823374             PRECISION=0.790850            F1=0.706569                   CLASSERROR=0.176626           
RBF        3    0         -5.84386       2.6            ACCURACY=0.824253             PRECISION=0.784127            F1=0.711816                   CLASSERROR=0.175747           
RBF        3    0         -5.84386       2.8            ACCURACY=0.822496             PRECISION=0.777429            F1=0.710602                   CLASSERROR=0.177504           
RBF        3    0         -5.84386       3              ACCURACY=0.822496             PRECISION=0.773994            F1=0.712251                   CLASSERROR=0.177504           
RBF        3    0         -5.84386       3.2            ACCURACY=0.820738             PRECISION=0.767584            F1=0.711048                   CLASSERROR=0.179262           
RBF        3    0         -5.84386       3.4            ACCURACY=0.820738             PRECISION=0.762763            F1=0.713483                   CLASSERROR=0.179262           
RBF        3    0         -5.84386       3.6            ACCURACY=0.815466             PRECISION=0.747801            F1=0.708333                   CLASSERROR=0.184534           
RBF        3    0         -5.84386       3.8            ACCURACY=0.816344             PRECISION=0.745665            F1=0.711724                   CLASSERROR=0.183656           
RBF        3    0         -5.64386       2              ACCURACY=0.822496             PRECISION=0.795987            F1=0.702065                   CLASSERROR=0.177504           
RBF        3    0         -5.64386       2.2            ACCURACY=0.823374             PRECISION=0.790850            F1=0.706569                   CLASSERROR=0.176626           
RBF        3    0         -5.64386       2.4            ACCURACY=0.824253             PRECISION=0.784127            F1=0.711816                   CLASSERROR=0.175747           
RBF        3    0         -5.64386       2.6            ACCURACY=0.822496             PRECISION=0.777429            F1=0.710602                   CLASSERROR=0.177504           
RBF        3    0         -5.64386       2.8            ACCURACY=0.822496             PRECISION=0.775701            F1=0.711429                   CLASSERROR=0.177504           
RBF        3    0         -5.64386       3              ACCURACY=0.822496             PRECISION=0.770642            F1=0.713881                   CLASSERROR=0.177504           
RBF        3    0         -5.64386       3.2            ACCURACY=0.820738             PRECISION=0.762763            F1=0.713483                   CLASSERROR=0.179262           
RBF        3    0         -5.64386       3.4            ACCURACY=0.815466             PRECISION=0.747801            F1=0.708333                   CLASSERROR=0.184534           
RBF        3    0         -5.64386       3.6            ACCURACY=0.815466             PRECISION=0.744928            F1=0.709945                   CLASSERROR=0.184534           
