kernel     deg  coef0     log2(g)        log2(C)        measure_1=val ... measure_n=val
RBF        3    0         -6.64386       2              ACCURACY=0.658472             PRECISION=0.486405            F1=0.452883                   CLASSERROR=0.341528           
RBF        3    0         -6.64386       2.2            ACCURACY=0.663740             PRECISION=0.495495            F1=0.462833                   CLASSERROR=0.336260           
RBF        3    0         -6.64386       2.4            ACCURACY=0.665496             PRECISION=0.498525            F1=0.470097                   CLASSERROR=0.334504           
RBF        3    0         -6.64386       2.6            ACCURACY=0.664618             PRECISION=0.497076            F1=0.470914                   CLASSERROR=0.335382           
RBF        3    0         -6.64386       2.8            ACCURACY=0.664618             PRECISION=0.497110            F1=0.473829                   CLASSERROR=0.335382           
RBF        3    0         -6.64386       3              ACCURACY=0.667252             PRECISION=0.501433            F1=0.480110                   CLASSERROR=0.332748           
RBF        3    0         -6.64386       3.2            ACCURACY=0.669886             PRECISION=0.505650            F1=0.487738                   CLASSERROR=0.330114           
RBF        3    0         -6.64386       3.4            ACCURACY=0.670764             PRECISION=0.506964            F1=0.492557                   CLASSERROR=0.329236           
RBF        3    0         -6.64386       3.6            ACCURACY=0.669008             PRECISION=0.504155            F1=0.491228                   CLASSERROR=0.330992           
RBF        3    0         -6.64386       3.8            ACCURACY=0.668130             PRECISION=0.502762            F1=0.490566                   CLASSERROR=0.331870           
RBF        3    0         -6.44386       2              ACCURACY=0.661106             PRECISION=0.491018            F1=0.459384                   CLASSERROR=0.338894           
RBF        3    0         -6.44386       2.2            ACCURACY=0.665496             PRECISION=0.498525            F1=0.470097                   CLASSERROR=0.334504           
RBF        3    0         -6.44386       2.4            ACCURACY=0.663740             PRECISION=0.495627            F1=0.470263                   CLASSERROR=0.336260           
RBF        3    0         -6.44386       2.6            ACCURACY=0.664618             PRECISION=0.497110            F1=0.473829                   CLASSERROR=0.335382           
RBF        3    0         -6.44386       2.8            ACCURACY=0.667252             PRECISION=0.501433            F1=0.480110                   CLASSERROR=0.332748           
RBF        3    0         -6.44386       3              ACCURACY=0.669008             PRECISION=0.504225            F1=0.487075                   CLASSERROR=0.330992           
RBF        3    0         -6.44386       3.2            ACCURACY=0.670764             PRECISION=0.506964            F1=0.492557                   CLASSERROR=0.329236           
RBF        3    0         -6.44386       3.4            ACCURACY=0.669008             PRECISION=0.504155            F1=0.491228                   CLASSERROR=0.330992           
RBF        3    0         -6.44386       3.6            ACCURACY=0.669008             PRECISION=0.504155            F1=0.491228                   CLASSERROR=0.330992           
RBF        3    0         -6.44386       3.8            ACCURACY=0.662862             PRECISION=0.494475            F1=0.482480                   CLASSERROR=0.337138           
RBF        3    0         -6.24386       2              ACCURACY=0.664618             PRECISION=0.497059            F1=0.469444                   CLASSERROR=0.335382           
RBF        3    0         -6.24386       2.2            ACCURACY=0.662862             PRECISION=0.494186            F1=0.469613                   CLASSERROR=0.337138           
RBF        3    0         -6.24386       2.4            ACCURACY=0.662862             PRECISION=0.494253            F1=0.472527                   CLASSERROR=0.337138           
RBF        3    0         -6.24386       2.6            ACCURACY=0.669008             PRECISION=0.504249            F1=0.485675                   CLASSERROR=0.330992           
