kernel     deg  coef0     log2(g)        log2(C)        measure_1=val ... measure_n=val
RBF        3    0         -13.2          15.2           ACCURACY=0.826011             PRECISION=0.806780            F1=0.706231                   CLASSERROR=0.173989           
RBF        3    0         -13.2          15.4           ACCURACY=0.825132             PRECISION=0.806122            F1=0.704309                   CLASSERROR=0.174868           
RBF        3    0         -13.2          15.6           ACCURACY=0.826011             PRECISION=0.806780            F1=0.706231                   CLASSERROR=0.173989           
RBF        3    0         -13.2          15.8           ACCURACY=0.825132             PRECISION=0.808219            F1=0.703428                   CLASSERROR=0.174868           
RBF        3    0         -13.2          16             ACCURACY=0.826011             PRECISION=0.808874            F1=0.705357                   CLASSERROR=0.173989           
RBF        3    0         -13            14             ACCURACY=0.827768             PRECISION=0.821053            F1=0.704819                   CLASSERROR=0.172232           
RBF        3    0         -13            14.2           ACCURACY=0.825132             PRECISION=0.812500            F1=0.701649                   CLASSERROR=0.174868           
RBF        3    0         -13            14.4           ACCURACY=0.826889             PRECISION=0.818182            F1=0.703759                   CLASSERROR=0.173111           
RBF        3    0         -13            14.6           ACCURACY=0.826011             PRECISION=0.810997            F1=0.704478                   CLASSERROR=0.173989           
RBF        3    0         -13            14.8           ACCURACY=0.824253             PRECISION=0.805461            F1=0.702381                   CLASSERROR=0.175747           
RBF        3    0         -13            15             ACCURACY=0.826011             PRECISION=0.804714            F1=0.707101                   CLASSERROR=0.173989           
RBF        3    0         -13            15.2           ACCURACY=0.826011             PRECISION=0.802676            F1=0.707965                   CLASSERROR=0.173989           
RBF        3    0         -13            15.4           ACCURACY=0.826889             PRECISION=0.805369            F1=0.709010                   CLASSERROR=0.173111           
RBF        3    0         -13            15.6           ACCURACY=0.826889             PRECISION=0.803333            F1=0.709867                   CLASSERROR=0.173111           
RBF        3    0         -13            15.8           ACCURACY=0.827768             PRECISION=0.806020            F1=0.710914                   CLASSERROR=0.172232           
RBF        3    0         -13            16             ACCURACY=0.828647             PRECISION=0.806667            F1=0.712813                   CLASSERROR=0.171353           
RBF        3    0         -12.8          14             ACCURACY=0.826011             PRECISION=0.815331            F1=0.702703                   CLASSERROR=0.173989           
RBF        3    0         -12.8          14.2           ACCURACY=0.826889             PRECISION=0.815972            F1=0.704648                   CLASSERROR=0.173111           
RBF        3    0         -12.8          14.4           ACCURACY=0.826889             PRECISION=0.811644            F1=0.706408                   CLASSERROR=0.173111           
RBF        3    0         -12.8          14.6           ACCURACY=0.824253             PRECISION=0.801347            F1=0.704142                   CLASSERROR=0.175747           
RBF        3    0         -12.8          14.8           ACCURACY=0.826889             PRECISION=0.803333            F1=0.709867                   CLASSERROR=0.173111           
RBF        3    0         -12.8          15             ACCURACY=0.827768             PRECISION=0.806020            F1=0.710914                   CLASSERROR=0.172232           
RBF        3    0         -12.8          15.2           ACCURACY=0.828647             PRECISION=0.806667            F1=0.712813                   CLASSERROR=0.171353           
RBF        3    0         -12.8          15.4           ACCURACY=0.828647             PRECISION=0.806667            F1=0.712813                   CLASSERROR=0.171353           
RBF        3    0         -12.8          15.6           ACCURACY=0.827768             PRECISION=0.803987            F1=0.711765                   CLASSERROR=0.172232           
RBF        3    0         -12.8          15.8           ACCURACY=0.827768             PRECISION=0.806020            F1=0.710914                   CLASSERROR=0.172232           
RBF        3    0         -12.8          16             ACCURACY=0.826011             PRECISION=0.804714            F1=0.707101                   CLASSERROR=0.173989           
RBF        3    0         -12.6          14             ACCURACY=0.826011             PRECISION=0.815331            F1=0.702703                   CLASSERROR=0.173989           
RBF        3    0         -12.6          14.2           ACCURACY=0.823374             PRECISION=0.809028            F1=0.698651                   CLASSERROR=0.176626           
RBF        3    0         -12.6          14.4           ACCURACY=0.825132             PRECISION=0.808219            F1=0.703428                   CLASSERROR=0.174868           
RBF        3    0         -12.6          14.6           ACCURACY=0.823374             PRECISION=0.802721            F1=0.701337                   CLASSERROR=0.176626           
RBF        3    0         -12.6          14.8           ACCURACY=0.826011             PRECISION=0.804714            F1=0.707101                   CLASSERROR=0.173989           
RBF        3    0         -12.6          15             ACCURACY=0.826889             PRECISION=0.807432            F1=0.708148                   CLASSERROR=0.173111           
RBF        3    0         -12.6          15.2           ACCURACY=0.826011             PRECISION=0.804714            F1=0.707101                   CLASSERROR=0.173989           
RBF        3    0         -12.6          15.4           ACCURACY=0.827768             PRECISION=0.808081            F1=0.710059                   CLASSERROR=0.172232           
RBF        3    0         -12.6          15.6           ACCURACY=0.827768             PRECISION=0.808081            F1=0.710059                   CLASSERROR=0.172232           
RBF        3    0         -12.6          15.8           ACCURACY=0.826889             PRECISION=0.809524            F1=0.707281                   CLASSERROR=0.173111           
RBF        3    0         -12.6          16             ACCURACY=0.822496             PRECISION=0.802048            F1=0.699405                   CLASSERROR=0.177504           
RBF        3    0         -12.4          14             ACCURACY=0.826011             PRECISION=0.808874            F1=0.705357                   CLASSERROR=0.173989           
RBF        3    0         -12.4          14.2           ACCURACY=0.822496             PRECISION=0.802048            F1=0.699405                   CLASSERROR=0.177504           
RBF        3    0         -12.4          14.4           ACCURACY=0.825132             PRECISION=0.804054            F1=0.705185                   CLASSERROR=0.174868           
