kernel     deg  coef0     log2(g)        log2(C)        measure_1=val ... measure_n=val
RBF        3    0         -6             2              ACCURACY=0.779438             PRECISION=0.801887            F1=0.575296                   CLASSERROR=0.220562           
RBF        3    0         -6             2.2            ACCURACY=0.783831             PRECISION=0.815166            F1=0.583051                   CLASSERROR=0.216169           
RBF        3    0         -6             2.4            ACCURACY=0.789982             PRECISION=0.830189            F1=0.595601                   CLASSERROR=0.210018           
RBF        3    0         -6             2.6            ACCURACY=0.792619             PRECISION=0.832558            F1=0.602694                   CLASSERROR=0.207381           
RBF        3    0         -6             2.8            ACCURACY=0.791740             PRECISION=0.831776            F1=0.600337                   CLASSERROR=0.208260           
RBF        3    0         -6             3              ACCURACY=0.792619             PRECISION=0.832558            F1=0.602694                   CLASSERROR=0.207381           
RBF        3    0         -6             3.2            ACCURACY=0.797012             PRECISION=0.836364            F1=0.614357                   CLASSERROR=0.202988           
RBF        3    0         -6             3.4            ACCURACY=0.796134             PRECISION=0.835616            F1=0.612040                   CLASSERROR=0.203866           
RBF        3    0         -6             3.6            ACCURACY=0.796134             PRECISION=0.832579            F1=0.613333                   CLASSERROR=0.203866           
RBF        3    0         -6             3.8            ACCURACY=0.796134             PRECISION=0.832579            F1=0.613333                   CLASSERROR=0.203866           
RBF        3    0         -5.8           2              ACCURACY=0.785589             PRECISION=0.813953            F1=0.589226                   CLASSERROR=0.214411           
RBF        3    0         -5.8           2.2            ACCURACY=0.789982             PRECISION=0.827103            F1=0.596965                   CLASSERROR=0.210018           
RBF        3    0         -5.8           2.4            ACCURACY=0.792619             PRECISION=0.829493            F1=0.604027                   CLASSERROR=0.207381           
RBF        3    0         -5.8           2.6            ACCURACY=0.791740             PRECISION=0.831776            F1=0.600337                   CLASSERROR=0.208260           
RBF        3    0         -5.8           2.8            ACCURACY=0.797891             PRECISION=0.837104            F1=0.616667                   CLASSERROR=0.202109           
RBF        3    0         -5.8           3              ACCURACY=0.797012             PRECISION=0.833333            F1=0.615641                   CLASSERROR=0.202988           
RBF        3    0         -5.8           3.2            ACCURACY=0.796134             PRECISION=0.832579            F1=0.613333                   CLASSERROR=0.203866           
RBF        3    0         -5.8           3.4            ACCURACY=0.796134             PRECISION=0.832579            F1=0.613333                   CLASSERROR=0.203866           
RBF        3    0         -5.8           3.6            ACCURACY=0.795255             PRECISION=0.825893            F1=0.613599                   CLASSERROR=0.204745           
RBF        3    0         -5.8           3.8            ACCURACY=0.795255             PRECISION=0.825893            F1=0.613599                   CLASSERROR=0.204745           
RBF        3    0         -5.6           2              ACCURACY=0.790861             PRECISION=0.824885            F1=0.600671                   CLASSERROR=0.209139           
RBF        3    0         -5.6           2.2            ACCURACY=0.791740             PRECISION=0.825688            F1=0.603015                   CLASSERROR=0.208260           
RBF        3    0         -5.6           2.4            ACCURACY=0.792619             PRECISION=0.832558            F1=0.602694                   CLASSERROR=0.207381           
RBF        3    0         -5.6           2.6            ACCURACY=0.797891             PRECISION=0.831111            F1=0.619205                   CLASSERROR=0.202109           
RBF        3    0         -5.6           2.8            ACCURACY=0.797891             PRECISION=0.834081            F1=0.617940                   CLASSERROR=0.202109           
RBF        3    0         -5.6           3              ACCURACY=0.796134             PRECISION=0.829596            F1=0.614618                   CLASSERROR=0.203866           
RBF        3    0         -5.6           3.2            ACCURACY=0.796134             PRECISION=0.829596            F1=0.614618                   CLASSERROR=0.203866           
RBF        3    0         -5.6           3.4            ACCURACY=0.795255             PRECISION=0.825893            F1=0.613599                   CLASSERROR=0.204745           
RBF        3    0         -5.6           3.6            ACCURACY=0.797891             PRECISION=0.828194            F1=0.620462                   CLASSERROR=0.202109           
RBF        3    0         -5.6           3.8            ACCURACY=0.797012             PRECISION=0.827434            F1=0.618182                   CLASSERROR=0.202988           
RBF        3    0         -5.4           2              ACCURACY=0.792619             PRECISION=0.829493            F1=0.604027                   CLASSERROR=0.207381           
RBF        3    0         -5.4           2.2            ACCURACY=0.795255             PRECISION=0.831818            F1=0.611018                   CLASSERROR=0.204745           
RBF        3    0         -5.4           2.4            ACCURACY=0.797891             PRECISION=0.831111            F1=0.619205                   CLASSERROR=0.202109           
RBF        3    0         -5.4           2.6            ACCURACY=0.796134             PRECISION=0.826667            F1=0.615894                   CLASSERROR=0.203866           
RBF        3    0         -5.4           2.8            ACCURACY=0.797012             PRECISION=0.827434            F1=0.618182                   CLASSERROR=0.202988           
RBF        3    0         -5.4           3              ACCURACY=0.795255             PRECISION=0.828829            F1=0.612313                   CLASSERROR=0.204745           
