kernel     deg  coef0     log2(g)        log2(C)        measure_1=val ... measure_n=val
RBF        3    0         -6             2              ACCURACY=0.667252             PRECISION=0.501370            F1=0.491275                   CLASSERROR=0.332748           
RBF        3    0         -6             2.2            ACCURACY=0.665496             PRECISION=0.498652            F1=0.492676                   CLASSERROR=0.334504           
RBF        3    0         -6             2.4            ACCURACY=0.669008             PRECISION=0.504043            F1=0.498003                   CLASSERROR=0.330992           
RBF        3    0         -6             2.6            ACCURACY=0.662862             PRECISION=0.494681            F1=0.492063                   CLASSERROR=0.337138           
RBF        3    0         -6             2.8            ACCURACY=0.662862             PRECISION=0.494737            F1=0.494737                   CLASSERROR=0.337138           
RBF        3    0         -6             3              ACCURACY=0.655838             PRECISION=0.484375            F1=0.486911                   CLASSERROR=0.344162           
RBF        3    0         -6             3.2            ACCURACY=0.654083             PRECISION=0.481959            F1=0.486979                   CLASSERROR=0.345917           
RBF        3    0         -6             3.4            ACCURACY=0.655838             PRECISION=0.484536            F1=0.489583                   CLASSERROR=0.344162           
RBF        3    0         -6             3.6            ACCURACY=0.654083             PRECISION=0.481959            F1=0.486979                   CLASSERROR=0.345917           
RBF        3    0         -6             3.8            ACCURACY=0.655838             PRECISION=0.484536            F1=0.489583                   CLASSERROR=0.344162           
RBF        3    0         -5.8           2              ACCURACY=0.665496             PRECISION=0.498652            F1=0.492676                   CLASSERROR=0.334504           
RBF        3    0         -5.8           2.2            ACCURACY=0.666374             PRECISION=0.500000            F1=0.496021                   CLASSERROR=0.333626           
RBF        3    0         -5.8           2.4            ACCURACY=0.664618             PRECISION=0.497355            F1=0.496042                   CLASSERROR=0.335382           
RBF        3    0         -5.8           2.6            ACCURACY=0.663740             PRECISION=0.496042            F1=0.495389                   CLASSERROR=0.336260           
RBF        3    0         -5.8           2.8            ACCURACY=0.656716             PRECISION=0.485640            F1=0.487549                   CLASSERROR=0.343284           
RBF        3    0         -5.8           3              ACCURACY=0.654083             PRECISION=0.481959            F1=0.486979                   CLASSERROR=0.345917           
RBF        3    0         -5.8           3.2            ACCURACY=0.656716             PRECISION=0.485861            F1=0.491547                   CLASSERROR=0.343284           
RBF        3    0         -5.8           3.4            ACCURACY=0.654083             PRECISION=0.481959            F1=0.486979                   CLASSERROR=0.345917           
RBF        3    0         -5.8           3.6            ACCURACY=0.658472             PRECISION=0.488491            F1=0.495460                   CLASSERROR=0.341528           
RBF        3    0         -5.8           3.8            ACCURACY=0.653205             PRECISION=0.480916            F1=0.489004                   CLASSERROR=0.346795           
RBF        3    0         -5.6           2              ACCURACY=0.669008             PRECISION=0.503979            F1=0.501981                   CLASSERROR=0.330992           
RBF        3    0         -5.6           2.2            ACCURACY=0.663740             PRECISION=0.496042            F1=0.495389                   CLASSERROR=0.336260           
RBF        3    0         -5.6           2.4            ACCURACY=0.662862             PRECISION=0.494737            F1=0.494737                   CLASSERROR=0.337138           
RBF        3    0         -5.6           2.6            ACCURACY=0.658472             PRECISION=0.488251            F1=0.490170                   CLASSERROR=0.341528           
RBF        3    0         -5.6           2.8            ACCURACY=0.656716             PRECISION=0.485934            F1=0.492866                   CLASSERROR=0.343284           
RBF        3    0         -5.6           3              ACCURACY=0.659350             PRECISION=0.489744            F1=0.496104                   CLASSERROR=0.340650           
RBF        3    0         -5.6           3.2            ACCURACY=0.656716             PRECISION=0.485861            F1=0.491547                   CLASSERROR=0.343284           
RBF        3    0         -5.6           3.4            ACCURACY=0.658472             PRECISION=0.488432            F1=0.494148                   CLASSERROR=0.341528           
RBF        3    0         -5.6           3.6            ACCURACY=0.653205             PRECISION=0.480916            F1=0.489004                   CLASSERROR=0.346795           
RBF        3    0         -5.6           3.8            ACCURACY=0.652327             PRECISION=0.479592            F1=0.487047                   CLASSERROR=0.347673           
RBF        3    0         -5.4           2              ACCURACY=0.663740             PRECISION=0.496042            F1=0.495389                   CLASSERROR=0.336260           
RBF        3    0         -5.4           2.2            ACCURACY=0.663740             PRECISION=0.496063            F1=0.496715                   CLASSERROR=0.336260           
RBF        3    0         -5.4           2.4            ACCURACY=0.659350             PRECISION=0.489583            F1=0.492147                   CLASSERROR=0.340650           
RBF        3    0         -5.4           2.6            ACCURACY=0.657594             PRECISION=0.487245            F1=0.494819                   CLASSERROR=0.342406           
RBF        3    0         -5.4           2.8            ACCURACY=0.659350             PRECISION=0.489744            F1=0.496104                   CLASSERROR=0.340650           
RBF        3    0         -5.4           3              ACCURACY=0.656716             PRECISION=0.485861            F1=0.491547                   CLASSERROR=0.343284           
RBF        3    0         -5.4           3.2            ACCURACY=0.657594             PRECISION=0.487179            F1=0.493506                   CLASSERROR=0.342406           
RBF        3    0         -5.4           3.4            ACCURACY=0.655838             PRECISION=0.484694            F1=0.492228                   CLASSERROR=0.344162           
RBF        3    0         -5.4           3.6            ACCURACY=0.653205             PRECISION=0.480818            F1=0.487678                   CLASSERROR=0.346795           
RBF        3    0         -5.4           3.8            ACCURACY=0.649693             PRECISION=0.475703            F1=0.482490                   CLASSERROR=0.350307           
RBF        3    0         -5.2           2              ACCURACY=0.665496             PRECISION=0.498688            F1=0.499343                   CLASSERROR=0.334504           
RBF        3    0         -5.2           2.2            ACCURACY=0.661984             PRECISION=0.493506            F1=0.496732                   CLASSERROR=0.338016           
RBF        3    0         -5.2           2.4            ACCURACY=0.659350             PRECISION=0.489796            F1=0.497409                   CLASSERROR=0.340650           
RBF        3    0         -5.2           2.6            ACCURACY=0.659350             PRECISION=0.489744            F1=0.496104                   CLASSERROR=0.340650           
RBF        3    0         -5.2           2.8            ACCURACY=0.658472             PRECISION=0.488491            F1=0.495460                   CLASSERROR=0.341528           
RBF        3    0         -5.2           3              ACCURACY=0.657594             PRECISION=0.487245            F1=0.494819                   CLASSERROR=0.342406           
RBF        3    0         -5.2           3.2            ACCURACY=0.655838             PRECISION=0.484694            F1=0.492228                   CLASSERROR=0.344162           
RBF        3    0         -5.2           3.4            ACCURACY=0.653205             PRECISION=0.480818            F1=0.487678                   CLASSERROR=0.346795           
RBF        3    0         -5.2           3.6            ACCURACY=0.650571             PRECISION=0.477041            F1=0.484456                   CLASSERROR=0.349429           
RBF        3    0         -5.2           3.8            ACCURACY=0.650571             PRECISION=0.477273            F1=0.487113                   CLASSERROR=0.349429           
RBF        3    0         -5             2              ACCURACY=0.664618             PRECISION=0.497409            F1=0.501305                   CLASSERROR=0.335382           
RBF        3    0         -5             2.2            ACCURACY=0.659350             PRECISION=0.489796            F1=0.497409                   CLASSERROR=0.340650           
RBF        3    0         -5             2.4            ACCURACY=0.659350             PRECISION=0.489744            F1=0.496104                   CLASSERROR=0.340650           
RBF        3    0         -5             2.6            ACCURACY=0.659350             PRECISION=0.489796            F1=0.497409                   CLASSERROR=0.340650           
RBF        3    0         -5             2.8            ACCURACY=0.659350             PRECISION=0.489796            F1=0.497409                   CLASSERROR=0.340650           
RBF        3    0         -5             3              ACCURACY=0.654961             PRECISION=0.483461            F1=0.491591                   CLASSERROR=0.345040           
RBF        3    0         -5             3.2            ACCURACY=0.654961             PRECISION=0.483461            F1=0.491591                   CLASSERROR=0.345040           
RBF        3    0         -5             3.4            ACCURACY=0.649693             PRECISION=0.475827            F1=0.483829                   CLASSERROR=0.350307           
RBF        3    0         -5             3.6            ACCURACY=0.649693             PRECISION=0.476071            F1=0.486486                   CLASSERROR=0.350307           
RBF        3    0         -5             3.8            ACCURACY=0.648815             PRECISION=0.474874            F1=0.485861                   CLASSERROR=0.351185           
RBF        3    0         -4.8           2              ACCURACY=0.659350             PRECISION=0.489796            F1=0.497409                   CLASSERROR=0.340650           
RBF        3    0         -4.8           2.2            ACCURACY=0.660228             PRECISION=0.491049            F1=0.498054                   CLASSERROR=0.339772           
RBF        3    0         -4.8           2.4            ACCURACY=0.659350             PRECISION=0.489796            F1=0.497409                   CLASSERROR=0.340650           
RBF        3    0         -4.8           2.6            ACCURACY=0.661106             PRECISION=0.492347            F1=0.500000                   CLASSERROR=0.338894           
RBF        3    0         -4.8           2.8            ACCURACY=0.657594             PRECISION=0.487437            F1=0.498715                   CLASSERROR=0.342406           
RBF        3    0         -4.8           3              ACCURACY=0.655838             PRECISION=0.484772            F1=0.493540                   CLASSERROR=0.344162           
RBF        3    0         -4.8           3.2            ACCURACY=0.651449             PRECISION=0.478481            F1=0.487742                   CLASSERROR=0.348551           
RBF        3    0         -4.8           3.4            ACCURACY=0.652327             PRECISION=0.479798            F1=0.489691                   CLASSERROR=0.347673           
RBF        3    0         -4.8           3.6            ACCURACY=0.647937             PRECISION=0.473418            F1=0.482581                   CLASSERROR=0.352063           
RBF        3    0         -4.8           3.8            ACCURACY=0.649693             PRECISION=0.476071            F1=0.486486                   CLASSERROR=0.350307           
RBF        3    0         -4.6           2              ACCURACY=0.662862             PRECISION=0.494898            F1=0.502591                   CLASSERROR=0.337138           
RBF        3    0         -4.6           2.2            ACCURACY=0.661984             PRECISION=0.493639            F1=0.501940                   CLASSERROR=0.338016           
RBF        3    0         -4.6           2.4            ACCURACY=0.658472             PRECISION=0.488491            F1=0.495460                   CLASSERROR=0.341528           
RBF        3    0         -4.6           2.6            ACCURACY=0.656716             PRECISION=0.486005            F1=0.494179                   CLASSERROR=0.343284           
RBF        3    0         -4.6           2.8            ACCURACY=0.652327             PRECISION=0.479592            F1=0.487047                   CLASSERROR=0.347673           
RBF        3    0         -4.6           3              ACCURACY=0.651449             PRECISION=0.478481            F1=0.487742                   CLASSERROR=0.348551           
RBF        3    0         -4.6           3.2            ACCURACY=0.648815             PRECISION=0.474747            F1=0.484536                   CLASSERROR=0.351185           
RBF        3    0         -4.6           3.4            ACCURACY=0.649693             PRECISION=0.475949            F1=0.485161                   CLASSERROR=0.350307           
RBF        3    0         -4.6           3.6            ACCURACY=0.649693             PRECISION=0.476071            F1=0.486486                   CLASSERROR=0.350307           
RBF        3    0         -4.6           3.8            ACCURACY=0.646181             PRECISION=0.471178            F1=0.482670                   CLASSERROR=0.353819           
RBF        3    0         -4.4           2              ACCURACY=0.661106             PRECISION=0.492347            F1=0.500000                   CLASSERROR=0.338894           
RBF        3    0         -4.4           2.2            ACCURACY=0.658472             PRECISION=0.488491            F1=0.495460                   CLASSERROR=0.341528           
RBF        3    0         -4.4           2.4            ACCURACY=0.653205             PRECISION=0.480916            F1=0.489004                   CLASSERROR=0.346795           
RBF        3    0         -4.4           2.6            ACCURACY=0.652327             PRECISION=0.479695            F1=0.488372                   CLASSERROR=0.347673           
RBF        3    0         -4.4           2.8            ACCURACY=0.651449             PRECISION=0.478372            F1=0.486417                   CLASSERROR=0.348551           
RBF        3    0         -4.4           3              ACCURACY=0.648815             PRECISION=0.474619            F1=0.483204                   CLASSERROR=0.351185           
RBF        3    0         -4.4           3.2            ACCURACY=0.650571             PRECISION=0.477273            F1=0.487113                   CLASSERROR=0.349429           
RBF        3    0         -4.4           3.4            ACCURACY=0.647059             PRECISION=0.472362            F1=0.483290                   CLASSERROR=0.352941           
RBF        3    0         -4.4           3.6            ACCURACY=0.647059             PRECISION=0.472500            F1=0.484615                   CLASSERROR=0.352941           
RBF        3    0         -4.4           3.8            ACCURACY=0.650571             PRECISION=0.477500            F1=0.489744                   CLASSERROR=0.349429           
RBF        3    0         -4.2           2              ACCURACY=0.661106             PRECISION=0.492347            F1=0.500000                   CLASSERROR=0.338894           
RBF        3    0         -4.2           2.2            ACCURACY=0.652327             PRECISION=0.479695            F1=0.488372                   CLASSERROR=0.347673           
RBF        3    0         -4.2           2.4            ACCURACY=0.653205             PRECISION=0.480916            F1=0.489004                   CLASSERROR=0.346795           
RBF        3    0         -4.2           2.6            ACCURACY=0.653205             PRECISION=0.481013            F1=0.490323                   CLASSERROR=0.346795           
RBF        3    0         -4.2           2.8            ACCURACY=0.649693             PRECISION=0.475827            F1=0.483829                   CLASSERROR=0.350307           
RBF        3    0         -4.2           3              ACCURACY=0.648815             PRECISION=0.474874            F1=0.485861                   CLASSERROR=0.351185           
RBF        3    0         -4.2           3.2            ACCURACY=0.650571             PRECISION=0.477273            F1=0.487113                   CLASSERROR=0.349429           
RBF        3    0         -4.2           3.4            ACCURACY=0.650571             PRECISION=0.477387            F1=0.488432                   CLASSERROR=0.349429           
RBF        3    0         -4.2           3.6            ACCURACY=0.649693             PRECISION=0.476190            F1=0.487805                   CLASSERROR=0.350307           
RBF        3    0         -4.2           3.8            ACCURACY=0.647937             PRECISION=0.473552            F1=0.483912                   CLASSERROR=0.352063           
