kernel     deg  coef0     log2(g)        log2(C)        measure_1=val ... measure_n=val
RBF        3    0         -6             2              ACCURACY=0.797012             PRECISION=0.813559            F1=0.624390                   CLASSERROR=0.202988           
RBF        3    0         -6             2.2            ACCURACY=0.799649             PRECISION=0.815900            F1=0.631068                   CLASSERROR=0.200351           
RBF        3    0         -6             2.4            ACCURACY=0.803163             PRECISION=0.818930            F1=0.639871                   CLASSERROR=0.196837           
RBF        3    0         -6             2.6            ACCURACY=0.807557             PRECISION=0.822581            F1=0.650718                   CLASSERROR=0.192443           
RBF        3    0         -6             2.8            ACCURACY=0.814587             PRECISION=0.825581            F1=0.668760                   CLASSERROR=0.185413           
RBF        3    0         -6             3              ACCURACY=0.814587             PRECISION=0.823077            F1=0.669797                   CLASSERROR=0.185413           
RBF        3    0         -6             3.2            ACCURACY=0.818981             PRECISION=0.826415            F1=0.680124                   CLASSERROR=0.181019           
RBF        3    0         -6             3.4            ACCURACY=0.819859             PRECISION=0.824627            F1=0.683153                   CLASSERROR=0.180141           
RBF        3    0         -6             3.6            ACCURACY=0.820738             PRECISION=0.822878            F1=0.686154                   CLASSERROR=0.179262           
RBF        3    0         -6             3.8            ACCURACY=0.822496             PRECISION=0.821818            F1=0.691131                   CLASSERROR=0.177504           
RBF        3    0         -5.8           2              ACCURACY=0.799649             PRECISION=0.815900            F1=0.631068                   CLASSERROR=0.200351           
RBF        3    0         -5.8           2.2            ACCURACY=0.804921             PRECISION=0.820408            F1=0.644231                   CLASSERROR=0.195079           
RBF        3    0         -5.8           2.4            ACCURACY=0.811951             PRECISION=0.823529            F1=0.662461                   CLASSERROR=0.188049           
RBF        3    0         -5.8           2.6            ACCURACY=0.813708             PRECISION=0.822394            F1=0.667712                   CLASSERROR=0.186292           
RBF        3    0         -5.8           2.8            ACCURACY=0.816344             PRECISION=0.824427            F1=0.673947                   CLASSERROR=0.183656           
RBF        3    0         -5.8           3              ACCURACY=0.818102             PRECISION=0.823308            F1=0.679070                   CLASSERROR=0.181898           
RBF        3    0         -5.8           3.2            ACCURACY=0.819859             PRECISION=0.824627            F1=0.683153                   CLASSERROR=0.180141           
RBF        3    0         -5.8           3.4            ACCURACY=0.823374             PRECISION=0.824818            F1=0.692190                   CLASSERROR=0.176626           
RBF        3    0         -5.8           3.6            ACCURACY=0.824253             PRECISION=0.823105            F1=0.695122                   CLASSERROR=0.175747           
RBF        3    0         -5.8           3.8            ACCURACY=0.823374             PRECISION=0.822464            F1=0.693130                   CLASSERROR=0.176626           
