kernel     deg  coef0     log2(g)        log2(C)        measure_1=val ... measure_n=val
RBF        3    0         -6.64386       2              ACCURACY=0.709394             PRECISION=0.615023            F1=0.441821                   CLASSERROR=0.290606           
RBF        3    0         -6.64386       2.2            ACCURACY=0.711150             PRECISION=0.617512            F1=0.448911                   CLASSERROR=0.288850           
RBF        3    0         -6.64386       2.4            ACCURACY=0.714662             PRECISION=0.627907            F1=0.453782                   CLASSERROR=0.285338           
RBF        3    0         -6.64386       2.6            ACCURACY=0.714662             PRECISION=0.624434            F1=0.459235                   CLASSERROR=0.285338           
RBF        3    0         -6.64386       2.8            ACCURACY=0.715540             PRECISION=0.622807            F1=0.467105                   CLASSERROR=0.284460           
RBF        3    0         -6.64386       3              ACCURACY=0.718174             PRECISION=0.628821            F1=0.472906                   CLASSERROR=0.281826           
RBF        3    0         -6.64386       3.2            ACCURACY=0.723442             PRECISION=0.638298            F1=0.487805                   CLASSERROR=0.276558           
RBF        3    0         -6.64386       3.4            ACCURACY=0.719930             PRECISION=0.626556            F1=0.486312                   CLASSERROR=0.280070           
RBF        3    0         -6.64386       3.6            ACCURACY=0.722564             PRECISION=0.628000            F1=0.498413                   CLASSERROR=0.277436           
RBF        3    0         -6.64386       3.8            ACCURACY=0.723442             PRECISION=0.628458            F1=0.502370                   CLASSERROR=0.276558           
RBF        3    0         -6.44386       2              ACCURACY=0.710272             PRECISION=0.614679            F1=0.448161                   CLASSERROR=0.289728           
RBF        3    0         -6.44386       2.2            ACCURACY=0.710272             PRECISION=0.613636            F1=0.450000                   CLASSERROR=0.289728           
RBF        3    0         -6.44386       2.4            ACCURACY=0.715540             PRECISION=0.625000            F1=0.463576                   CLASSERROR=0.284460           
RBF        3    0         -6.44386       2.6            ACCURACY=0.716418             PRECISION=0.623377            F1=0.471358                   CLASSERROR=0.283582           
RBF        3    0         -6.44386       2.8            ACCURACY=0.719930             PRECISION=0.630901            F1=0.479608                   CLASSERROR=0.280070           
RBF        3    0         -6.44386       3              ACCURACY=0.724320             PRECISION=0.639831            F1=0.490260                   CLASSERROR=0.275680           
RBF        3    0         -6.44386       3.2            ACCURACY=0.720808             PRECISION=0.627049            F1=0.490385                   CLASSERROR=0.279192           
RBF        3    0         -6.44386       3.4            ACCURACY=0.722564             PRECISION=0.628000            F1=0.498413                   CLASSERROR=0.277436           
RBF        3    0         -6.44386       3.6            ACCURACY=0.722564             PRECISION=0.625984            F1=0.501577                   CLASSERROR=0.277436           
RBF        3    0         -6.44386       3.8            ACCURACY=0.724320             PRECISION=0.627907            F1=0.507837                   CLASSERROR=0.275680           
RBF        3    0         -6.24386       2              ACCURACY=0.711150             PRECISION=0.613333            F1=0.456198                   CLASSERROR=0.288850           
RBF        3    0         -6.24386       2.2            ACCURACY=0.715540             PRECISION=0.622807            F1=0.467105                   CLASSERROR=0.284460           
RBF        3    0         -6.24386       2.4            ACCURACY=0.718174             PRECISION=0.625532            F1=0.478049                   CLASSERROR=0.281826           
RBF        3    0         -6.24386       2.6            ACCURACY=0.719930             PRECISION=0.629787            F1=0.481301                   CLASSERROR=0.280070           
RBF        3    0         -6.24386       2.8            ACCURACY=0.724320             PRECISION=0.638655            F1=0.491909                   CLASSERROR=0.275680           
RBF        3    0         -6.24386       3              ACCURACY=0.721686             PRECISION=0.628571            F1=0.492800                   CLASSERROR=0.278314           
RBF        3    0         -6.24386       3.2            ACCURACY=0.719930             PRECISION=0.621514            F1=0.494453                   CLASSERROR=0.280070           
RBF        3    0         -6.24386       3.4            ACCURACY=0.722564             PRECISION=0.625984            F1=0.501577                   CLASSERROR=0.277436           
RBF        3    0         -6.24386       3.6            ACCURACY=0.724320             PRECISION=0.627907            F1=0.507837                   CLASSERROR=0.275680           
RBF        3    0         -6.24386       3.8            ACCURACY=0.722564             PRECISION=0.622137            F1=0.507788                   CLASSERROR=0.277436           
RBF        3    0         -6.04386       2              ACCURACY=0.713784             PRECISION=0.616379            F1=0.467320                   CLASSERROR=0.286216           
RBF        3    0         -6.04386       2.2            ACCURACY=0.718174             PRECISION=0.625532            F1=0.478049                   CLASSERROR=0.281826           
RBF        3    0         -6.04386       2.4            ACCURACY=0.720808             PRECISION=0.631356            F1=0.483766                   CLASSERROR=0.279192           
RBF        3    0         -6.04386       2.6            ACCURACY=0.723442             PRECISION=0.635983            F1=0.491115                   CLASSERROR=0.276558           
RBF        3    0         -6.04386       2.8            ACCURACY=0.722564             PRECISION=0.629032            F1=0.496815                   CLASSERROR=0.277436           
RBF        3    0         -6.04386       3              ACCURACY=0.719930             PRECISION=0.620553            F1=0.496051                   CLASSERROR=0.280070           
RBF        3    0         -6.04386       3.2            ACCURACY=0.721686             PRECISION=0.622568            F1=0.502355                   CLASSERROR=0.278314           
RBF        3    0         -6.04386       3.4            ACCURACY=0.723442             PRECISION=0.625483            F1=0.507042                   CLASSERROR=0.276558           
RBF        3    0         -6.04386       3.6            ACCURACY=0.722564             PRECISION=0.622137            F1=0.507788                   CLASSERROR=0.277436           
RBF        3    0         -6.04386       3.8            ACCURACY=0.719930             PRECISION=0.614232            F1=0.506955                   CLASSERROR=0.280070           
RBF        3    0         -5.84386       2              ACCURACY=0.719052             PRECISION=0.627119            F1=0.480519                   CLASSERROR=0.280948           
RBF        3    0         -5.84386       2.2            ACCURACY=0.723442             PRECISION=0.635983            F1=0.491115                   CLASSERROR=0.276558           
