kernel     deg  coef0     log2(g)        log2(C)        measure_1=val ... measure_n=val
RBF        3    0         -6.64386       2              ACCURACY=0.749340             PRECISION=0.648734            F1=0.589928                   CLASSERROR=0.250660           
RBF        3    0         -6.64386       2.2            ACCURACY=0.747581             PRECISION=0.642857            F1=0.590585                   CLASSERROR=0.252419           
RBF        3    0         -6.64386       2.4            ACCURACY=0.747581             PRECISION=0.640244            F1=0.594059                   CLASSERROR=0.252419           
RBF        3    0         -6.64386       2.6            ACCURACY=0.745822             PRECISION=0.636364            F1=0.592384                   CLASSERROR=0.254178           
RBF        3    0         -6.64386       2.8            ACCURACY=0.743184             PRECISION=0.630631            F1=0.589888                   CLASSERROR=0.256816           
RBF        3    0         -6.64386       3              ACCURACY=0.743184             PRECISION=0.628319            F1=0.593315                   CLASSERROR=0.256816           
RBF        3    0         -6.64386       3.2            ACCURACY=0.743184             PRECISION=0.627566            F1=0.594444                   CLASSERROR=0.256816           
RBF        3    0         -6.64386       3.4            ACCURACY=0.742304             PRECISION=0.625731            F1=0.593620                   CLASSERROR=0.257696           
RBF        3    0         -6.64386       3.6            ACCURACY=0.738786             PRECISION=0.618497            F1=0.590345                   CLASSERROR=0.261214           
RBF        3    0         -6.64386       3.8            ACCURACY=0.735268             PRECISION=0.612717            F1=0.584828                   CLASSERROR=0.264732           
RBF        3    0         -6.44386       2              ACCURACY=0.747581             PRECISION=0.642857            F1=0.590585                   CLASSERROR=0.252419           
RBF        3    0         -6.44386       2.2            ACCURACY=0.747581             PRECISION=0.640244            F1=0.594059                   CLASSERROR=0.252419           
RBF        3    0         -6.44386       2.4            ACCURACY=0.744943             PRECISION=0.634441            F1=0.591549                   CLASSERROR=0.255057           
RBF        3    0         -6.44386       2.6            ACCURACY=0.743184             PRECISION=0.629851            F1=0.591036                   CLASSERROR=0.256816           
RBF        3    0         -6.44386       2.8            ACCURACY=0.744063             PRECISION=0.630177            F1=0.594142                   CLASSERROR=0.255937           
RBF        3    0         -6.44386       3              ACCURACY=0.743184             PRECISION=0.627566            F1=0.594444                   CLASSERROR=0.256816           
RBF        3    0         -6.44386       3.2            ACCURACY=0.741425             PRECISION=0.623907            F1=0.592798                   CLASSERROR=0.258575           
RBF        3    0         -6.44386       3.4            ACCURACY=0.737907             PRECISION=0.617391            F1=0.588398                   CLASSERROR=0.262093           
RBF        3    0         -6.44386       3.6            ACCURACY=0.734389             PRECISION=0.610315            F1=0.585165                   CLASSERROR=0.265611           
RBF        3    0         -6.44386       3.8            ACCURACY=0.734389             PRECISION=0.609687            F1=0.586301                   CLASSERROR=0.265611           
RBF        3    0         -6.24386       2              ACCURACY=0.747581             PRECISION=0.640244            F1=0.594059                   CLASSERROR=0.252419           
RBF        3    0         -6.24386       2.2            ACCURACY=0.744063             PRECISION=0.632530            F1=0.590717                   CLASSERROR=0.255937           
RBF        3    0         -6.24386       2.4            ACCURACY=0.744063             PRECISION=0.630177            F1=0.594142                   CLASSERROR=0.255937           
RBF        3    0         -6.24386       2.6            ACCURACY=0.744063             PRECISION=0.630177            F1=0.594142                   CLASSERROR=0.255937           
RBF        3    0         -6.24386       2.8            ACCURACY=0.743184             PRECISION=0.627566            F1=0.594444                   CLASSERROR=0.256816           
RBF        3    0         -6.24386       3              ACCURACY=0.740545             PRECISION=0.622093            F1=0.591978                   CLASSERROR=0.259455           
RBF        3    0         -6.24386       3.2            ACCURACY=0.737027             PRECISION=0.615607            F1=0.587586                   CLASSERROR=0.262973           
RBF        3    0         -6.24386       3.4            ACCURACY=0.733509             PRECISION=0.609195            F1=0.583219                   CLASSERROR=0.266491           
RBF        3    0         -6.24386       3.6            ACCURACY=0.733509             PRECISION=0.607955            F1=0.585499                   CLASSERROR=0.266491           
RBF        3    0         -6.24386       3.8            ACCURACY=0.730871             PRECISION=0.603399            F1=0.581967                   CLASSERROR=0.269129           
RBF        3    0         -6.04386       2              ACCURACY=0.744063             PRECISION=0.632530            F1=0.590717                   CLASSERROR=0.255937           
