kernel     deg  coef0     log2(g)        log2(C)        measure_1=val ... measure_n=val
RBF        3    0         -6.64386       2              ACCURACY=0.763620             PRECISION=0.798913            F1=0.522202                   CLASSERROR=0.236380           
RBF        3    0         -6.64386       2.2            ACCURACY=0.770650             PRECISION=0.807292            F1=0.542907                   CLASSERROR=0.229350           
RBF        3    0         -6.64386       2.4            ACCURACY=0.775923             PRECISION=0.810000            F1=0.559586                   CLASSERROR=0.224077           
RBF        3    0         -6.64386       2.6            ACCURACY=0.778559             PRECISION=0.806763            F1=0.569966                   CLASSERROR=0.221441           
RBF        3    0         -6.64386       2.8            ACCURACY=0.777680             PRECISION=0.797170            F1=0.571912                   CLASSERROR=0.222320           
RBF        3    0         -6.64386       3              ACCURACY=0.776801             PRECISION=0.782805            F1=0.576667                   CLASSERROR=0.223199           
RBF        3    0         -6.64386       3.2            ACCURACY=0.777680             PRECISION=0.776316            F1=0.583196                   CLASSERROR=0.222320           
RBF        3    0         -6.64386       3.4            ACCURACY=0.777680             PRECISION=0.762500            F1=0.591276                   CLASSERROR=0.222320           
RBF        3    0         -6.64386       3.6            ACCURACY=0.776801             PRECISION=0.751004            F1=0.595541                   CLASSERROR=0.223199           
RBF        3    0         -6.64386       3.8            ACCURACY=0.776801             PRECISION=0.741313            F1=0.601881                   CLASSERROR=0.223199           
RBF        3    0         -6.44386       2              ACCURACY=0.771529             PRECISION=0.808290            F1=0.545455                   CLASSERROR=0.228471           
RBF        3    0         -6.44386       2.2            ACCURACY=0.775923             PRECISION=0.810000            F1=0.559586                   CLASSERROR=0.224077           
RBF        3    0         -6.44386       2.4            ACCURACY=0.778559             PRECISION=0.806763            F1=0.569966                   CLASSERROR=0.221441           
RBF        3    0         -6.44386       2.6            ACCURACY=0.780316             PRECISION=0.802817            F1=0.577703                   CLASSERROR=0.219684           
RBF        3    0         -6.44386       2.8            ACCURACY=0.775923             PRECISION=0.779279            F1=0.575707                   CLASSERROR=0.224077           
RBF        3    0         -6.44386       3              ACCURACY=0.777680             PRECISION=0.776316            F1=0.583196                   CLASSERROR=0.222320           
RBF        3    0         -6.44386       3.2            ACCURACY=0.777680             PRECISION=0.762500            F1=0.591276                   CLASSERROR=0.222320           
RBF        3    0         -6.44386       3.4            ACCURACY=0.776801             PRECISION=0.751004            F1=0.595541                   CLASSERROR=0.223199           
RBF        3    0         -6.44386       3.6            ACCURACY=0.775923             PRECISION=0.740310            F1=0.599686                   CLASSERROR=0.224077           
RBF        3    0         -6.44386       3.8            ACCURACY=0.777680             PRECISION=0.740458            F1=0.605304                   CLASSERROR=0.222320           
RBF        3    0         -6.24386       2              ACCURACY=0.775923             PRECISION=0.810000            F1=0.559586                   CLASSERROR=0.224077           
RBF        3    0         -6.24386       2.2            ACCURACY=0.780316             PRECISION=0.808612            F1=0.574830                   CLASSERROR=0.219684           
RBF        3    0         -6.24386       2.4            ACCURACY=0.780316             PRECISION=0.802817            F1=0.577703                   CLASSERROR=0.219684           
RBF        3    0         -6.24386       2.6            ACCURACY=0.776801             PRECISION=0.782805            F1=0.576667                   CLASSERROR=0.223199           
RBF        3    0         -6.24386       2.8            ACCURACY=0.778559             PRECISION=0.777293            F1=0.585526                   CLASSERROR=0.221441           
RBF        3    0         -6.24386       3              ACCURACY=0.777680             PRECISION=0.762500            F1=0.591276                   CLASSERROR=0.222320           
RBF        3    0         -6.24386       3.2            ACCURACY=0.776801             PRECISION=0.751004            F1=0.595541                   CLASSERROR=0.223199           
RBF        3    0         -6.24386       3.4            ACCURACY=0.776801             PRECISION=0.743191            F1=0.600629                   CLASSERROR=0.223199           
RBF        3    0         -6.24386       3.6            ACCURACY=0.777680             PRECISION=0.740458            F1=0.605304                   CLASSERROR=0.222320           
RBF        3    0         -6.24386       3.8            ACCURACY=0.780316             PRECISION=0.741573            F1=0.613003                   CLASSERROR=0.219684           
RBF        3    0         -6.04386       2              ACCURACY=0.780316             PRECISION=0.808612            F1=0.574830                   CLASSERROR=0.219684           
RBF        3    0         -6.04386       2.2            ACCURACY=0.781195             PRECISION=0.800926            F1=0.581513                   CLASSERROR=0.218805           
RBF        3    0         -6.04386       2.4            ACCURACY=0.777680             PRECISION=0.783784            F1=0.579035                   CLASSERROR=0.222320           
RBF        3    0         -6.04386       2.6            ACCURACY=0.778559             PRECISION=0.777293            F1=0.585526                   CLASSERROR=0.221441           
RBF        3    0         -6.04386       2.8            ACCURACY=0.777680             PRECISION=0.762500            F1=0.591276                   CLASSERROR=0.222320           
RBF        3    0         -6.04386       3              ACCURACY=0.776801             PRECISION=0.751004            F1=0.595541                   CLASSERROR=0.223199           
RBF        3    0         -6.04386       3.2            ACCURACY=0.776801             PRECISION=0.741313            F1=0.601881                   CLASSERROR=0.223199           
