kernel     deg  coef0     log2(g)        log2(C)        measure_1=val ... measure_n=val
RBF        3    0         -4             0              ACCURACY=0.733743             PRECISION=0.616564            F1=0.570213                   CLASSERROR=0.266257           
RBF        3    0         -4             0.2            ACCURACY=0.729350             PRECISION=0.606607            F1=0.567416                   CLASSERROR=0.270650           
RBF        3    0         -4             0.4            ACCURACY=0.727592             PRECISION=0.602374            F1=0.567039                   CLASSERROR=0.272408           
RBF        3    0         -4             0.6            ACCURACY=0.727592             PRECISION=0.600000            F1=0.571823                   CLASSERROR=0.272408           
RBF        3    0         -4             0.8            ACCURACY=0.727592             PRECISION=0.599424            F1=0.573003                   CLASSERROR=0.272408           
RBF        3    0         -4             1              ACCURACY=0.726714             PRECISION=0.597701            F1=0.572215                   CLASSERROR=0.273286           
RBF        3    0         -4             1.2            ACCURACY=0.727592             PRECISION=0.599424            F1=0.573003                   CLASSERROR=0.272408           
RBF        3    0         -4             1.4            ACCURACY=0.727592             PRECISION=0.598854            F1=0.574176                   CLASSERROR=0.272408           
RBF        3    0         -4             1.6            ACCURACY=0.729350             PRECISION=0.601719            F1=0.576923                   CLASSERROR=0.270650           
RBF        3    0         -4             1.8            ACCURACY=0.727592             PRECISION=0.597734            F1=0.576503                   CLASSERROR=0.272408           
RBF        3    0         -4             2              ACCURACY=0.728471             PRECISION=0.597765            F1=0.580733                   CLASSERROR=0.271529           
RBF        3    0         -3.8           0              ACCURACY=0.727592             PRECISION=0.603604            F1=0.564607                   CLASSERROR=0.272408           
RBF        3    0         -3.8           0.2            ACCURACY=0.728471             PRECISION=0.602941            F1=0.570236                   CLASSERROR=0.271529           
RBF        3    0         -3.8           0.4            ACCURACY=0.726714             PRECISION=0.598266            F1=0.571034                   CLASSERROR=0.273286           
RBF        3    0         -3.8           0.6            ACCURACY=0.726714             PRECISION=0.598837            F1=0.569848                   CLASSERROR=0.273286           
RBF        3    0         -3.8           0.8            ACCURACY=0.730228             PRECISION=0.604651            F1=0.575380                   CLASSERROR=0.269772           
RBF        3    0         -3.8           1              ACCURACY=0.726714             PRECISION=0.597701            F1=0.572215                   CLASSERROR=0.273286           
RBF        3    0         -3.8           1.2            ACCURACY=0.727592             PRECISION=0.599424            F1=0.573003                   CLASSERROR=0.272408           
RBF        3    0         -3.8           1.4            ACCURACY=0.729350             PRECISION=0.601719            F1=0.576923                   CLASSERROR=0.270650           
RBF        3    0         -3.8           1.6            ACCURACY=0.728471             PRECISION=0.598870            F1=0.578445                   CLASSERROR=0.271529           
RBF        3    0         -3.8           1.8            ACCURACY=0.728471             PRECISION=0.597765            F1=0.580733                   CLASSERROR=0.271529           
RBF        3    0         -3.8           2              ACCURACY=0.728471             PRECISION=0.598315            F1=0.579592                   CLASSERROR=0.271529           
RBF        3    0         -3.6           0              ACCURACY=0.729350             PRECISION=0.604106            F1=0.572222                   CLASSERROR=0.270650           
RBF        3    0         -3.6           0.2            ACCURACY=0.727592             PRECISION=0.601173            F1=0.569444                   CLASSERROR=0.272408           
RBF        3    0         -3.6           0.4            ACCURACY=0.728471             PRECISION=0.602339            F1=0.571429                   CLASSERROR=0.271529           
RBF        3    0         -3.6           0.6            ACCURACY=0.730228             PRECISION=0.604651            F1=0.575380                   CLASSERROR=0.269772           
RBF        3    0         -3.6           0.8            ACCURACY=0.726714             PRECISION=0.597701            F1=0.572215                   CLASSERROR=0.273286           
RBF        3    0         -3.6           1              ACCURACY=0.729350             PRECISION=0.602899            F1=0.574586                   CLASSERROR=0.270650           
RBF        3    0         -3.6           1.2            ACCURACY=0.728471             PRECISION=0.599432            F1=0.577291                   CLASSERROR=0.271529           
RBF        3    0         -3.6           1.4            ACCURACY=0.730228             PRECISION=0.601124            F1=0.582313                   CLASSERROR=0.269772           
RBF        3    0         -3.6           1.6            ACCURACY=0.728471             PRECISION=0.598315            F1=0.579592                   CLASSERROR=0.271529           
RBF        3    0         -3.6           1.8            ACCURACY=0.726714             PRECISION=0.595506            F1=0.576871                   CLASSERROR=0.273286           
RBF        3    0         -3.6           2              ACCURACY=0.723199             PRECISION=0.588889            F1=0.573748                   CLASSERROR=0.276801           
RBF        3    0         -3.4           0              ACCURACY=0.728471             PRECISION=0.602941            F1=0.570236                   CLASSERROR=0.271529           
RBF        3    0         -3.4           0.2            ACCURACY=0.729350             PRECISION=0.604106            F1=0.572222                   CLASSERROR=0.270650           
RBF        3    0         -3.4           0.4            ACCURACY=0.730228             PRECISION=0.604651            F1=0.575380                   CLASSERROR=0.269772           
RBF        3    0         -3.4           0.6            ACCURACY=0.727592             PRECISION=0.599424            F1=0.573003                   CLASSERROR=0.272408           
RBF        3    0         -3.4           0.8            ACCURACY=0.725835             PRECISION=0.596542            F1=0.570248                   CLASSERROR=0.274165           
RBF        3    0         -3.4           1              ACCURACY=0.730228             PRECISION=0.601695            F1=0.581173                   CLASSERROR=0.269772           
RBF        3    0         -3.4           1.2            ACCURACY=0.731107             PRECISION=0.602817            F1=0.583106                   CLASSERROR=0.268893           
RBF        3    0         -3.4           1.4            ACCURACY=0.727592             PRECISION=0.597183            F1=0.577657                   CLASSERROR=0.272408           
RBF        3    0         -3.4           1.6            ACCURACY=0.727592             PRECISION=0.596639            F1=0.578804                   CLASSERROR=0.272408           
RBF        3    0         -3.4           1.8            ACCURACY=0.724956             PRECISION=0.591667            F1=0.576455                   CLASSERROR=0.275044           
RBF        3    0         -3.4           2              ACCURACY=0.722320             PRECISION=0.586777            F1=0.574124                   CLASSERROR=0.277680           
RBF        3    0         -3.2           0              ACCURACY=0.729350             PRECISION=0.604106            F1=0.572222                   CLASSERROR=0.270650           
RBF        3    0         -3.2           0.2            ACCURACY=0.727592             PRECISION=0.600583            F1=0.570637                   CLASSERROR=0.272408           
RBF        3    0         -3.2           0.4            ACCURACY=0.728471             PRECISION=0.601156            F1=0.573793                   CLASSERROR=0.271529           
RBF        3    0         -3.2           0.6            ACCURACY=0.729350             PRECISION=0.601719            F1=0.576923                   CLASSERROR=0.270650           
RBF        3    0         -3.2           0.8            ACCURACY=0.730228             PRECISION=0.602273            F1=0.580027                   CLASSERROR=0.269772           
RBF        3    0         -3.2           1              ACCURACY=0.728471             PRECISION=0.598870            F1=0.578445                   CLASSERROR=0.271529           
RBF        3    0         -3.2           1.2            ACCURACY=0.727592             PRECISION=0.597183            F1=0.577657                   CLASSERROR=0.272408           
RBF        3    0         -3.2           1.4            ACCURACY=0.724956             PRECISION=0.592179            F1=0.575305                   CLASSERROR=0.275044           
RBF        3    0         -3.2           1.6            ACCURACY=0.724956             PRECISION=0.592179            F1=0.575305                   CLASSERROR=0.275044           
RBF        3    0         -3.2           1.8            ACCURACY=0.720562             PRECISION=0.584958            F1=0.569106                   CLASSERROR=0.279438           
RBF        3    0         -3.2           2              ACCURACY=0.715290             PRECISION=0.577465            F1=0.558583                   CLASSERROR=0.284710           
RBF        3    0         -3             0              ACCURACY=0.728471             PRECISION=0.602339            F1=0.571429                   CLASSERROR=0.271529           
RBF        3    0         -3             0.2            ACCURACY=0.728471             PRECISION=0.601744            F1=0.572614                   CLASSERROR=0.271529           
RBF        3    0         -3             0.4            ACCURACY=0.728471             PRECISION=0.600000            F1=0.576132                   CLASSERROR=0.271529           
RBF        3    0         -3             0.6            ACCURACY=0.730228             PRECISION=0.603448            F1=0.577717                   CLASSERROR=0.269772           
RBF        3    0         -3             0.8            ACCURACY=0.727592             PRECISION=0.597734            F1=0.576503                   CLASSERROR=0.272408           
RBF        3    0         -3             1              ACCURACY=0.727592             PRECISION=0.597183            F1=0.577657                   CLASSERROR=0.272408           
RBF        3    0         -3             1.2            ACCURACY=0.724077             PRECISION=0.591036            F1=0.573370                   CLASSERROR=0.275923           
RBF        3    0         -3             1.4            ACCURACY=0.721441             PRECISION=0.587079            F1=0.568707                   CLASSERROR=0.278559           
RBF        3    0         -3             1.6            ACCURACY=0.718805             PRECISION=0.583099            F1=0.564033                   CLASSERROR=0.281195           
RBF        3    0         -3             1.8            ACCURACY=0.718805             PRECISION=0.584046            F1=0.561644                   CLASSERROR=0.281195           
RBF        3    0         -3             2              ACCURACY=0.717926             PRECISION=0.582386            F1=0.560876                   CLASSERROR=0.282074           
RBF        3    0         -2.8           0              ACCURACY=0.729350             PRECISION=0.604106            F1=0.572222                   CLASSERROR=0.270650           
RBF        3    0         -2.8           0.2            ACCURACY=0.730228             PRECISION=0.603448            F1=0.577717                   CLASSERROR=0.269772           
RBF        3    0         -2.8           0.4            ACCURACY=0.731986             PRECISION=0.606322            F1=0.580468                   CLASSERROR=0.268014           
RBF        3    0         -2.8           0.6            ACCURACY=0.726714             PRECISION=0.596591            F1=0.574555                   CLASSERROR=0.273286           
RBF        3    0         -2.8           0.8            ACCURACY=0.727592             PRECISION=0.597734            F1=0.576503                   CLASSERROR=0.272408           
RBF        3    0         -2.8           1              ACCURACY=0.723199             PRECISION=0.590395            F1=0.570259                   CLASSERROR=0.276801           
RBF        3    0         -2.8           1.2            ACCURACY=0.721441             PRECISION=0.587571            F1=0.567531                   CLASSERROR=0.278559           
RBF        3    0         -2.8           1.4            ACCURACY=0.721441             PRECISION=0.588571            F1=0.565158                   CLASSERROR=0.278559           
RBF        3    0         -2.8           1.6            ACCURACY=0.721441             PRECISION=0.589080            F1=0.563962                   CLASSERROR=0.278559           
RBF        3    0         -2.8           1.8            ACCURACY=0.720562             PRECISION=0.587896            F1=0.561983                   CLASSERROR=0.279438           
